category,file_name,subset
Phoenicurus phoenicurus,4fc16d76-83a6-4d97-b798-fe85160c275d.wav,train_files
Erithacus rubecula,f6a2f7bf-33fc-4957-bdf1-2b2cde8ce9f2.wav,train_files
Larus michahellis,8472f641-65e4-451f-84c3-af4fd4fa42a8.wav,train_files
Curruca communis,450a72a1-9bce-444c-b5f2-15f193d315df.wav,train_files
Troglodytes troglodytes,4f495032-b4cd-480d-a8ec-01ce29d456da.wav,train_files
Gavia immer,a7d1d756-ab42-4d22-84f3-65fbdd00ecca.wav,train_files
Phylloscopus trochilus,e0da433a-d763-4f93-a2a8-1055ce1104ee.wav,train_files
Accipiter nisus,9be1904c-5505-4d5f-b2a3-733b0a4462a7.wav,train_files
Alauda arvensis,ed1e2436-551d-459b-ae8b-b4aa77d11bde.wav,train_files
Lophophanes cristatus,b2665d59-f561-414a-8330-fd19252b33e6.wav,train_files
Ardea cinerea,58d339ed-055b-41fb-8708-696c63972246.wav,train_files
Oriolus oriolus,65c6778c-e57c-420b-89cd-99facfe72522.wav,train_files
Sitta europaea,6e18979b-69dc-4de6-be80-e4dd93b3a140.wav,train_files
Turdus pilaris,c774500c-4e77-4223-9fdc-ef13dadce492.wav,train_files
Loxia curvirostra,97dbbf18-14dd-4274-ad1b-3ba0c753d38f.wav,train_files
Luscinia megarhynchos,7cd50c02-1e69-41e8-a800-5e74de5e45aa.wav,train_files
Anas platyrhynchos,34d1940c-8ec3-4146-a00c-722a67e2fb15.wav,train_files
Phylloscopus trochilus,23cc0abe-8024-4419-962a-9f786ae297eb.wav,train_files
Branta canadensis,33b3c526-2875-4924-9a2d-baecf830ff36.wav,train_files
Tringa ochropus,818d4eda-5839-4033-b7b4-b4803069a39f.wav,train_files
Sturnus vulgaris,989e0aa0-ae77-4da8-95d6-a503a682da02.wav,train_files
Passer domesticus,920877e6-bf35-4247-89fe-b56e22bd2dc4.wav,train_files
Columba palumbus,a6adc482-2de3-4b62-90ed-e66372a7c404.wav,train_files
Sitta europaea,f782572d-9fd5-4b2b-a443-a71b33ef84c5.wav,train_files
Caprimulgus europaeus,d1a1cdca-f6af-478f-826b-a82656e3b6dd.wav,train_files
Tetrax tetrax,b58a732c-28ff-4536-b0e7-cf6b358a0755.wav,train_files
Nycticorax nycticorax,9f1ece6d-722a-43d6-a05b-de45fef29902.wav,train_files
Tachybaptus ruficollis,39074c2c-b562-4a75-83c3-331388d164c1.wav,train_files
Parus major,bb043b11-4320-45bf-a770-1442fe2ad700.wav,train_files
Vanellus vanellus,dd4a7132-3339-43ec-a626-e1d13800454e.wav,train_files
Pandion haliaetus,580d0708-5dd6-411b-953d-397c38385d4e.wav,train_files
Aegithalos caudatus,ff53aa19-c17a-41a8-a391-07d45fd59b84.wav,train_files
Fringilla coelebs,b7220158-8cb8-452b-b711-6af9a7147cf0.wav,train_files
Turdus philomelos,8e1f15cf-58f0-4764-becf-1c8dfcc63a58.wav,train_files
Passer domesticus,74db32ac-066c-4da1-80e6-a3174fb50f9d.wav,train_files
Alauda arvensis,fbf1b39b-38c0-48c0-af6d-527ee2e893bf.wav,train_files
Locustella naevia,70154cd3-5df8-4802-94d0-238df5518b17.wav,train_files
Bubo bubo,0fd96b93-41d0-4998-85b6-0572962ffe40.wav,train_files
Erithacus rubecula,26309770-e7de-4928-8c17-81842554d49a.wav,train_files
Troglodytes troglodytes,8e167cd1-2287-40f3-92ec-820f816e0cb3.wav,train_files
Acrocephalus arundinaceus,e35caf71-48b6-4c92-b3ad-0778f04232e9.wav,train_files
Turdus merula,5239c42e-96f0-4fa5-8c52-40df6515c2dd.wav,train_files
Columba palumbus,7c834ec5-2c1e-411f-9c91-d83b51c3bff7.wav,train_files
Troglodytes troglodytes,7c52a870-0e38-4f2d-8a35-98c338d19432.wav,train_files
Apus apus,899952de-966d-486f-ae57-85cfa253600d.wav,train_files
Chloris chloris,1e3de44a-835c-4795-be12-ba3311928664.wav,train_files
Certhia brachydactyla,8f08b5b9-176c-4638-9e1c-15450e3ea181.wav,train_files
Erithacus rubecula,133d89d1-1c4e-4212-a367-a7319eaa4de3.wav,train_files
Chloris chloris,0f0ef6f2-fd02-48c8-b2fc-be164f86386a.wav,train_files
Chloris chloris,bea4964a-6893-47a0-99b8-db769f23bc82.wav,train_files
Passer domesticus,9cf4c386-d307-4bb3-a043-747acca2b840.wav,train_files
Pica pica,ac9369a6-2e4f-42de-8480-a58773c1849f.wav,train_files
Lophophanes cristatus,20a3cb15-0704-40a9-9025-52eb650e40ae.wav,train_files
Turdus merula,9a0615aa-7d00-4e18-a660-96410cc788ee.wav,train_files
Otus scops,8b2d5811-21d6-4ff0-a75c-209b1627ceb6.wav,train_files
Chlidonias hybrida,e6e3f102-376f-4607-95f9-10d12156439e.wav,train_files
Strix aluco,2e04ac4e-6f32-429f-b820-c818d8435cb7.wav,train_files
Phoenicurus phoenicurus,f255653a-72b2-4f8d-af22-9adf1c11e2a8.wav,train_files
Actitis hypoleucos,3a8a1610-0f35-42a1-a27d-56fd0fc9d916.wav,train_files
Serinus serinus,6f8bbf3d-b41f-4d9a-8cd1-15341c5c38f1.wav,train_files
Luscinia megarhynchos,f7c1583f-6116-4160-aa77-ac8c116ac323.wav,train_files
Acrocephalus scirpaceus,5aded522-ea7c-49a3-b782-b1fa77925ec1.wav,train_files
Larus canus,2d665415-f5a0-426f-b239-123a94729f5b.wav,train_files
Cyanistes caeruleus,d5df8dfd-a265-48d1-9e33-2f098c8a4c99.wav,train_files
Linaria cannabina,ccdde34b-39c8-4973-bb2a-5a087cf71d98.wav,train_files
Vanellus vanellus,d9a7ee22-1bd4-4215-9f12-856e8ac38ddd.wav,train_files
Cuculus canorus,424259d8-6a71-475f-a823-87ba126e8057.wav,train_files
Turdus philomelos,45a3dad6-02f0-467e-8928-109b61a4221a.wav,train_files
Turdus merula,fdceec2e-b749-4bbc-bee6-214de3cf337a.wav,train_files
Sylvia borin,1763f98d-39b4-488a-bb04-43e58f48898d.wav,train_files
Corvus corax,9e2e28cf-2c0b-4c6e-8f2c-590bdd19e9fb.wav,train_files
Turdus merula,0313443c-db12-4c5b-87fa-116b6fab3c18.wav,train_files
Corvus corax,7be03c9b-d5b7-40a0-8e83-f3733e4c4018.wav,train_files
Turdus merula,9cb6c8aa-1f68-438d-b3ed-60eb7de5663a.wav,train_files
Passer domesticus,2c347b38-7876-4823-a3db-6ad94c6dcf8a.wav,train_files
Anas acuta,77f524bb-e91a-4257-8b55-339580532d7b.wav,train_files
Fringilla coelebs,d84bfe0f-3b61-43c3-8342-24607d293712.wav,train_files
Serinus serinus,678ac55a-25ac-4a80-af0c-b7115f465a89.wav,train_files
Corvus corax,b1841021-80bb-4f89-9f46-02254ab5dd09.wav,train_files
Otus scops,324cc022-1c70-46a6-a0a4-fc41c8b8e09c.wav,train_files
Luscinia megarhynchos,14438884-7008-4ce9-88be-cd443936de0f.wav,train_files
Otus scops,d747cd5d-711d-49d9-8c08-70ef7e711123.wav,train_files
Gavia immer,037a62d9-1fb3-496e-ae00-2f0ccce49086.wav,train_files
Sitta europaea,cb81b587-0862-4faf-b855-ea95721ae512.wav,train_files
Sturnus vulgaris,da3199dd-aa7d-4b77-906b-2ae83b2f56dc.wav,train_files
Phoenicurus phoenicurus,a07556dc-a96c-461c-9d70-7f82445726bc.wav,train_files
Acrocephalus arundinaceus,eb7aff11-a9ca-407f-b348-e8408ca7801f.wav,train_files
Parus major,4484f012-dbed-4d04-b750-6ea333c25ecb.wav,train_files
Hirundo rustica,1bcff3f5-64f0-46db-a978-427abd87e2bf.wav,train_files
Milvus milvus,05a2e99d-d019-4411-8a8c-e9f8cb0f83ae.wav,train_files
Sylvia atricapilla,1abb8e09-cbeb-4b58-acc8-80302a8f4ac4.wav,train_files
Passer domesticus,7f59a4f1-9530-4fe3-b98f-e41c39433b86.wav,train_files
Passer domesticus,d738f9fe-cb3b-49bf-9b67-261732d36c9f.wav,train_files
Aegithalos caudatus,9fbddb4b-0cd7-4d0a-a87d-6ac38d4e5568.wav,train_files
Acrocephalus scirpaceus,ea32159c-d02b-4794-923c-a017386767a8.wav,train_files
Loxia curvirostra,f9778bce-dfbd-4393-a978-b3c6fa033a14.wav,train_files
Anthus spinoletta,dbf0c40f-5051-4eb2-a409-dd69412f2202.wav,train_files
Phylloscopus collybita,99bf86e0-8d01-4980-9567-981fdef456db.wav,train_files
Troglodytes troglodytes,6ee35b69-616c-41f2-9c52-a6ddb4d58858.wav,train_files
Acrocephalus dumetorum,7777a797-de01-4c91-b435-4b9daee30b06.wav,train_files
Emberiza calandra,980bef6c-6e86-4259-92c5-39b853fe0062.wav,train_files
Cuculus canorus,32061716-6e14-4231-87f2-fa42cfe63b2f.wav,train_files
Turdus merula,bd4d1b44-c927-423f-ab87-a66ebcfe5cec.wav,train_files
Turdus philomelos,85641493-034e-42e1-af00-ed356d930dbd.wav,train_files
Turdus merula,3017d98a-54e8-44bd-9c79-dbe0dbcedbce.wav,train_files
Loxia curvirostra,ef3aa8d2-bd4e-43cb-b838-ecb1ad1c6e87.wav,train_files
Parus major,88989cb9-b1ba-4b65-b8bc-b673142cf0c2.wav,train_files
Pica pica,420fb0e9-254e-4551-b820-73d9afcee884.wav,train_files
Merops apiaster,121352ef-6d93-4ebd-b99c-109dde2f17cf.wav,train_files
Fringilla coelebs,c6b7e843-cf72-4677-8445-bea126b3e448.wav,train_files
Coccothraustes coccothraustes,dc36125b-7203-4cab-b984-c7d4ee0e32bd.wav,train_files
Dendrocopos major,a6cc288d-474a-40e4-aa83-8aa349efaab7.wav,train_files
Gavia stellata,f9593db3-4020-4fca-9e75-83f5932fae78.wav,train_files
Parus major,2a3d18fa-8a79-40b9-8498-a61edeca0238.wav,train_files
Carduelis carduelis,c4a64fdf-9faf-4562-990f-47a6a1ba3a05.wav,train_files
Sylvia atricapilla,e1ba2fd8-fcf0-47e7-bc4a-198d30b502b6.wav,train_files
Cyanistes caeruleus,0b9f94c1-916a-4752-9355-5fba0c179fb1.wav,train_files
Turdus pilaris,3f174fb4-08a5-42c4-98df-0a3b92338f4e.wav,train_files
Erithacus rubecula,94b3a5fd-5407-4915-8891-9bb1054aca58.wav,train_files
Cyanistes caeruleus,7d50c232-d22f-4ce6-9273-489709207aa7.wav,train_files
Apus apus,18f02ce9-374b-42f3-9d39-d35338842a33.wav,train_files
Milvus migrans,82dfc6b8-553d-4c96-9cec-ec153c8e922f.wav,train_files
Branta canadensis,7c103c7f-2989-4003-86c9-2c2aec43d9a9.wav,train_files
Troglodytes troglodytes,ba54c798-89de-4d32-ac61-f39995aa779a.wav,train_files
Spinus spinus,33c9262f-887f-4c75-b3e4-5e01c14bf360.wav,train_files
Cyanistes caeruleus,70ae267c-050e-498f-95ed-b0378e1b80e6.wav,train_files
Columba palumbus,6d92ec26-f57b-48be-a111-5a73e2f40496.wav,train_files
Bubo bubo,d791f90f-01ba-48e3-b144-c6e38502bffd.wav,train_files
Cuculus canorus,ec39b318-2846-4dd3-a4fa-37fd39148c86.wav,train_files
Strix aluco,8d4f7e04-24c4-427e-ba1a-1a5ea7fb7903.wav,train_files
Parus major,6efc376f-67c7-4fdf-99a5-4a49e4b410c7.wav,train_files
Aegithalos caudatus,2c72ab6b-4696-4306-8057-ac1b0fab0037.wav,train_files
Erithacus rubecula,795300a9-24b8-4ce3-8ffb-681ae0fa1b7a.wav,train_files
Passer domesticus,69bd1f29-e0e3-4341-a814-667d5d979cf1.wav,train_files
Corvus corax,f4c070ea-3d7d-4b4b-8990-ed2c0225a634.wav,train_files
Troglodytes troglodytes,862b6935-6df6-444f-b72a-a8e2afdb938b.wav,train_files
Crex crex,c5d9dbd8-1d12-4a4f-9e50-1a03cc41386d.wav,train_files
Acrocephalus palustris,558c6a57-6d1b-4373-a0e3-815df186632d.wav,train_files
Turdus philomelos,b783fd0a-d707-4ce6-ac80-e6bf502af4d4.wav,train_files
Anthus trivialis,60dbb24b-5c46-407e-9742-8daa3fbd737d.wav,train_files
Phylloscopus collybita,1a8be967-c738-4c19-982f-0d93e36c031a.wav,train_files
Mareca penelope,1da55f41-c57c-4d6d-94f2-fd8480449141.wav,train_files
Corvus corax,b4446586-5247-4654-819c-b5cda48aef3f.wav,train_files
Tringa ochropus,2d8bc59c-2db4-4540-a4b6-5ffd52967ca8.wav,train_files
Buteo buteo,ea56fbf0-e85a-4cbc-a7b4-1f88218b2947.wav,train_files
Carduelis carduelis,3a7c2221-3601-43ae-a5e8-8a7eadc01497.wav,train_files
Loxia curvirostra,e8534f83-42cd-4b95-b631-b1197b398b45.wav,train_files
Pica pica,b9d9467c-d19d-4f4f-83ed-5d93df1d0d39.wav,train_files
Cyanistes caeruleus,071655bf-8e18-4635-8717-0c951a196346.wav,train_files
